INDEX,STREET NAME,STREET TYPE,STREET SUFFIX,SUBURB,SUBURB LIST
8243,JULIUS,Street,,NEW FARM,"N, NEW FARM"
8244,JULL,Street,,GEEBUNG,"G, GEEBUNG"
8245,JUMBUCK,Street,,JINDALEE,"J, JINDALEE"
8246,JUMNA,Street,,WEST END,"W, WEST END"
8247,JUNCTION,Road,,CANNON HILL,"C, CANNON HILL"
8248,JUNCTION,Road,,CLAYFIELD,"C, CLAYFIELD"
8249,JUNCTION,Road,,MORNINGSIDE,"M, MORNINGSIDE"
8250,JUNCTION,Street,,GREENSLOPES,"G, GREENSLOPES"
8251,JUNCTION,Street,,SHERWOOD,"S, SHERWOOD"
8252,JUNCTION,Street,,STONES CORNER,"S, STONES CORNER"
8253,JUNCTION,Street,,WOOLLOONGABBA,"W, WOOLLOONGABBA"
8254,JUNCTION,Terrace,,ANNERLEY,"A, ANNERLEY"
8255,JUNDAL,Street,,SUNNYBANK,"S, SUNNYBANK"
8256,JUNE,Court,,ELLEN GROVE,"E, ELLEN GROVE"
8257,JUNE,Street,,MITCHELTON,"M, MITCHELTON"
8258,JUNIOR,Terrace,,NORTHGATE,"N, NORTHGATE"
8259,JUNIPER,Circuit,,STRETTON,"S, STRETTON"
8260,JUNIPER,Close,,CHAPEL HILL,"C, CHAPEL HILL"
8261,JUNIPER,Place,,CARINDALE,"C, CARINDALE"
8262,JUNIPER,Street,,HEATHWOOD,"H, HEATHWOOD"
8263,JUNIPER,Street,,INALA,"I, INALA"
8264,JUPETTA,Street,,ASPLEY,"A, ASPLEY"
8265,JURA,Street,,MIDDLE PARK,"M, MIDDLE PARK"
8266,JURGENS,Street,,WOOLLOONGABBA,"W, WOOLLOONGABBA"
8267,JUSTER,Street,,ANNERLEY,"A, ANNERLEY"
8268,JUSTICE,Street,,MANSFIELD,"M, MANSFIELD"
8269,JUSTICE,Street,,WISHART,"W, WISHART"
8270,JUSTIN,Close,,PARKINSON,"P, PARKINSON"
8271,JUSTIN,Street,,HOLLAND PARK WEST,"H, HOLLAND PARK WEST"
8272,JUTE,Street,,KELVIN GROVE,"K, KELVIN GROVE"
8273,JUTLAND,Street,,OXLEY,"O, OXLEY"
8274,JUTSUM,Street,,BARDON,"B, BARDON"
8275,JUXGOLD,Place,,CALAMVALE,"C, CALAMVALE"
8276,JUXGOLD,Place,,ROBERTSON,"R, ROBERTSON"
8277,JUXGOLD,Street,,MURARRIE,"M, MURARRIE"
8278,JUXON,Street,,BALD HILLS,"B, BALD HILLS"
8279,KABIR,Street,,MITCHELTON,"M, MITCHELTON"
8280,KABOORA,Crescent,,WESTLAKE,"W, WESTLAKE"
8281,KADANGA,Street,,ASHGROVE,"A, ASHGROVE"
8282,KADGO,Place,,WESTLAKE,"W, WESTLAKE"
8283,KADINA,Street,,THE GAP,"T, THE GAP"
8284,KADUMBA,Street,,YERONGA,"Y, YERONGA"
8285,KAGAN,Close,,BRIDGEMAN DOWNS,"B, BRIDGEMAN DOWNS"
8286,KAGOOLA,Close,,CHAPEL HILL,"C, CHAPEL HILL"
8287,KAGOOLA,Street,,BANYO,"B, BANYO"
8288,KAGRA,Street,,EIGHT MILE PLAINS,"E, EIGHT MILE PLAINS"
8289,KAHLI,Place,,CARSELDINE,"C, CARSELDINE"
8290,KAIJA,Street,,MOUNT GRAVATT EAST,"M, MOUNT GRAVATT EAST"
8291,KAILUA,Street,,BROOKFIELD,"B, BROOKFIELD"
8292,KAIN,Street,,COOPERS PLAINS,"C, COOPERS PLAINS"
8293,KAIYAR,Street,,CHERMSIDE WEST,"C, CHERMSIDE WEST"
8294,KAKADU,Circuit,,ZILLMERE,"Z, ZILLMERE"
8295,KAKADU,Close,,RIVERHILLS,"R, RIVERHILLS"
8296,KAKADU,Street,,PARKINSON,"P, PARKINSON"
8297,KAKANUI,Street,,ASPLEY,"A, ASPLEY"
