INDEX,STREET NAME,STREET TYPE,STREET SUFFIX,SUBURB,SUBURB LIST
2319,BROOK,Road,,KALINGA,"K, KALINGA"
2320,BROOK,Street,,EVERTON PARK,"E, EVERTON PARK"
2321,BROOK,Street,,HENDRA,"H, HENDRA"
2322,BROOK,Street,,KALINGA,"K, KALINGA"
2323,BROOK,Street,,LUTWYCHE,"L, LUTWYCHE"
2324,BROOK,Street,,NUNDAH,"N, NUNDAH"
2325,BROOK,Street,,SOUTH BRISBANE,"S, SOUTH BRISBANE"
2326,BROOK,Street,,WAKERLEY,"W, WAKERLEY"
2327,BROOK,Street,,WINDSOR,"W, WINDSOR"
2328,BROOKBENT,Road,,PALLARA,"P, PALLARA"
2329,BROOKDALE,Court,,CARINA,"C, CARINA"
2330,BROOKE,Close,,THE GAP,"T, THE GAP"
2331,BROOKE,Street,,CLAYFIELD,"C, CLAYFIELD"
2332,BROOKE,Street,,ROCKLEA,"R, ROCKLEA"
2333,BROOKES,Street,,BOWEN HILLS,"B, BOWEN HILLS"
2334,BROOKES,Street,,FORTITUDE VALLEY,"F, FORTITUDE VALLEY"
2335,BROOKESIDE,Crescent,,SEVENTEEN MILE ROCKS,"S, SEVENTEEN MILE ROCKS"
2336,BROOKFIELD,Court,,PARKINSON,"P, PARKINSON"
2337,BROOKFIELD,Road,,BROOKFIELD,"B, BROOKFIELD"
2338,BROOKFIELD,Road,,KEDRON,"K, KEDRON"
2339,BROOKFIELD,Road,,KENMORE,"K, KENMORE"
2340,BROOKFIELD,Road,,KENMORE HILLS,"K, KENMORE HILLS"
2341,BROOKLAND,Close,,BRIDGEMAN DOWNS,"B, BRIDGEMAN DOWNS"
2342,BROOKLANDS,Circuit,,FOREST LAKE,"F, FOREST LAKE"
2343,BROOKLANDS,Street,,EIGHT MILE PLAINS,"E, EIGHT MILE PLAINS"
2344,BROOKS,Street,,CAMP HILL,"C, CAMP HILL"
2345,BROOKSIDE,Place,,LOTA,"L, LOTA"
2346,BROOKSIDE,Street,,DOOLANDELLA,"D, DOOLANDELLA"
2347,BROOKVALE,Close,,KENMORE HILLS,"K, KENMORE HILLS"
2348,BROOKVALE,Place,,BRACKEN RIDGE,"B, BRACKEN RIDGE"
2349,BROOKWOOD,Street,,MURARRIE,"M, MURARRIE"
2350,BROOMFIELD,Street,,INDOOROOPILLY,"I, INDOOROOPILLY"
2351,BROOMFIELD,Street,,TARINGA,"T, TARINGA"
2352,BROSELEY,Road,,TOOWONG,"T, TOOWONG"
2353,BROSSARD,Court,,MANSFIELD,"M, MANSFIELD"
2354,BROUGHAM,Street,,FAIRFIELD,"F, FAIRFIELD"
2355,BROUGHTON,Road,,KEDRON,"K, KEDRON"
2356,BROULA,Street,,STAFFORD HEIGHTS,"S, STAFFORD HEIGHTS"
2357,BROWN,Parade,,ASHGROVE,"A, ASHGROVE"
2358,BROWN,Street,,BARDON,"B, BARDON"
2359,BROWN,Street,,CAMP HILL,"C, CAMP HILL"
2360,BROWN,Street,,MOGGILL,"M, MOGGILL"
2361,BROWN,Street,,WINDSOR,"W, WINDSOR"
2362,BROWNE,Street,,CORINDA,"C, CORINDA"
2363,BROWNE,Street,,NEW FARM,"N, NEW FARM"
2364,BROWNIE,Street,,JAMBOREE HEIGHTS,"J, JAMBOREE HEIGHTS"
2365,BROWNING,Street,,SOUTH BRISBANE,"S, SOUTH BRISBANE"
2366,BROWNING,Street,,WEST END,"W, WEST END"
2367,BROWNLEAF,Street,,MANSFIELD,"M, MANSFIELD"
2368,BROWNLEE,Street,,PINKENBA,"P, PINKENBA"
2369,BROWNS DIP,Road,,ENOGGERA,"E, ENOGGERA"
2370,BRUAN,Close,,MIDDLE PARK,"M, MIDDLE PARK"
2371,BRUCE,Street,,CAMP HILL,"C, CAMP HILL"
2372,BRUCE,Street,,CARINA,"C, CARINA"
2373,BRUCE,Street,,CHERMSIDE,"C, CHERMSIDE"
2374,BRUCE,Street,,GRANGE,"G, GRANGE"
2375,BRUCE,Street,,WOOLLOONGABBA,"W, WOOLLOONGABBA"
2376,BRUCKNER,Street,,THE GAP,"T, THE GAP"
2377,BRUMBY,Circuit,,SUMNER,"S, SUMNER"
2378,BRUNA,Street,,RUNCORN,"R, RUNCORN"
2379,BRUNSWICK,Street,,FORTITUDE VALLEY,"F, FORTITUDE VALLEY"
2380,BRUNSWICK,Street,,NEW FARM,"N, NEW FARM"
2381,BRUNY,Lane,,FITZGIBBON,"F, FITZGIBBON"
2382,BRUREE,Street,,THE GAP,"T, THE GAP"
2383,BRUSH BOX,Close,,CORINDA,"C, CORINDA"
2384,BRUSH BOX,Place,,HEATHWOOD,"H, HEATHWOOD"
2385,BRUSH BOX,Place,,WAKERLEY,"W, WAKERLEY"
2386,BRUSHBOX,Court,,CHAPEL HILL,"C, CHAPEL HILL"
2387,BRUSHBOX,Crescent,,SUNNYBANK HILLS,"S, SUNNYBANK HILLS"
2388,BRUSHBOX,Street,,MOGGILL,"M, MOGGILL"
2389,BRUSHBOX,Street,,TAIGUM,"T, TAIGUM"
2390,BRUSHTAIL,Crescent,,DOOLANDELLA,"D, DOOLANDELLA"
2391,BRUSHWOOD,Circuit,,FOREST LAKE,"F, FOREST LAKE"
2392,BRUSHWOOD,Street,,BRACKEN RIDGE,"B, BRACKEN RIDGE"
2393,BRUSSELS,Avenue,,MORNINGSIDE,"M, MORNINGSIDE"
2394,BRUTON,Street,,EIGHT MILE PLAINS,"E, EIGHT MILE PLAINS"
2395,BRYANT,Street,,ASHGROVE,"A, ASHGROVE"
2396,BRYCE,Street,,ST LUCIA,"S, ST LUCIA"
2397,BRYDEN,Street,,WINDSOR,"W, WINDSOR"
2398,BRYDON,Street,,HIGHGATE HILL,"H, HIGHGATE HILL"
2399,BRYMER,Street,,CHAPEL HILL,"C, CHAPEL HILL"
2400,BRYNNER,Street,,MCDOWALL,"M, MCDOWALL"
2401,BUCHANAN,Road,,BANYO,"B, BANYO"
2402,BUCHANAN,Street,,WEST END,"W, WEST END"
2403,BUCKARA,Street,,THE GAP,"T, THE GAP"
2404,BUCKBY,Street,,NUNDAH,"N, NUNDAH"
2405,BUCKINGHAM,Place,,EIGHT MILE PLAINS,"E, EIGHT MILE PLAINS"
2406,BUCKINGHAM,Street,,ASHGROVE,"A, ASHGROVE"
2407,BUCKINGHAMIA,Place,,STRETTON,"S, STRETTON"
2408,BUCKLAND,Road,,NUNDAH,"N, NUNDAH"
2409,BUCKLAND,Street,,HOLLAND PARK WEST,"H, HOLLAND PARK WEST"
2410,BUCKLE,Court,,SINNAMON PARK,"S, SINNAMON PARK"
2411,BUCKLE,Road,,BALD HILLS,"B, BALD HILLS"
2412,BUCKLE,Street,,NORTHGATE,"N, NORTHGATE"
2413,BUCKLEY,Drive,,DREWVALE,"D, DREWVALE"
2414,BUCKLEY,Street,,CARINA HEIGHTS,"C, CARINA HEIGHTS"
2415,BUCKRA,Street,,BRACKEN RIDGE,"B, BRACKEN RIDGE"
2416,BUDAWANG,Street,,PARKINSON,"P, PARKINSON"
2417,BUDDINA,Street,,STAFFORD,"S, STAFFORD"
2418,BUDDLEIA,Street,,INALA,"I, INALA"
2419,BUDERIM,Street,,MANLY,"M, MANLY"
2420,BUDERIM,Street,,WYNNUM,"W, WYNNUM"
2421,BUDGEREE,Street,,ASPLEY,"A, ASPLEY"
2422,BUDGEREE,Street,,ZILLMERE,"Z, ZILLMERE"
2423,BUDGERIGAR,Street,,UPPER KEDRON,"U, UPPER KEDRON"
2424,BUENA VISTA,Avenue,,COORPAROO,"C, COORPAROO"
2425,BUFALINO,Street,,PARKINSON,"P, PARKINSON"
2426,BUFFALO,Street,,RIVERHILLS,"R, RIVERHILLS"
2427,BUFFALO,Street,,WESTLAKE,"W, WESTLAKE"
2428,BUGDEN,Street,,BRIGHTON,"B, BRIGHTON"
2429,BUHOT,Street,,GEEBUNG,"G, GEEBUNG"
2430,BUHOT,Street,East,GEEBUNG,"G, GEEBUNG"
2431,BUKULLA,Street,,RICHLANDS,"R, RICHLANDS"
2432,BUKULLA,Street,,WACOL,"W, WACOL"
2433,BULAN,Street,,WESTLAKE,"W, WESTLAKE"
2434,BULGIN,Avenue,,WYNNUM WEST,"W, WYNNUM WEST"
2435,BULIMBA,Parade,,BULIMBA,"B, BULIMBA"
2436,BULIMBA,Street,,BULIMBA,"B, BULIMBA"
2437,BULK TERMINALS,Drive,,PORT OF BRISBANE,"P, PORT OF BRISBANE"
2438,BULLARD,Street,,COORPAROO,"C, COORPAROO"
2439,BULLARD,Street,,GREENSLOPES,"G, GREENSLOPES"
2440,BULLEN,Circuit,,FOREST LAKE,"F, FOREST LAKE"
2441,BULLER,Street,,EVERTON PARK,"E, EVERTON PARK"
2442,BULLEY,Place,,CHAPEL HILL,"C, CHAPEL HILL"
2443,BULLI,Street,,HENDRA,"H, HENDRA"
2444,BULLOCK DRAY,Drive,,MOUNT CROSBY,"M, MOUNT CROSBY"
2445,BULLOCKHEAD,Street,,SUMNER,"S, SUMNER"
2446,BULLOO,Court,,RUNCORN,"R, RUNCORN"
2447,BULTARRA,Street,,RUNCORN,"R, RUNCORN"
2448,BULWER,Street,,ZILLMERE,"Z, ZILLMERE"
2449,BUNA,Street,,CHERMSIDE,"C, CHERMSIDE"
2450,BUNA,Street,,WAVELL HEIGHTS,"W, WAVELL HEIGHTS"
2451,BUNDABAH,Drive,,CALAMVALE,"C, CALAMVALE"
2452,BUNDAH,Street,,CAMP HILL,"C, CAMP HILL"
2453,BUNDAL,Street,,CHERMSIDE,"C, CHERMSIDE"
2454,BUNDALEER,Street,,BROOKFIELD,"B, BROOKFIELD"
2455,BUNDARA,Street,,MORNINGSIDE,"M, MORNINGSIDE"
2456,BUNDELLA,Street,,ASPLEY,"A, ASPLEY"
2457,BUNDOORA,Drive,,KARANA DOWNS,"K, KARANA DOWNS"
2458,BUNDOORA,Street,,CARINA HEIGHTS,"C, CARINA HEIGHTS"
2459,BUNDORAN,Close,,WESTLAKE,"W, WESTLAKE"
2460,BUNGAMA,Street,,DEAGON,"D, DEAGON"
2461,BUNGAREE,Place,,KARANA DOWNS,"K, KARANA DOWNS"
2462,BUNGAREE,Street,,ALGESTER,"A, ALGESTER"
2463,BUNGOWLA,Street,,BRACKEN RIDGE,"B, BRACKEN RIDGE"
2464,BUNGUNYA,Street,,BANYO,"B, BANYO"
2465,BUNNING,Street,,INDOOROOPILLY,"I, INDOOROOPILLY"
2466,BUNNY,Street,,EVERTON PARK,"E, EVERTON PARK"
2467,BUNOWANG,Street,,BALMORAL,"B, BALMORAL"
2468,BUNOWEN,Street,,FERNY GROVE,"F, FERNY GROVE"
2469,BUNRATTY,Street,,THE GAP,"T, THE GAP"
2470,BUNYA,Court,,PARKINSON,"P, PARKINSON"
2471,BUNYA,Lane,,FITZGIBBON,"F, FITZGIBBON"
2472,BUNYA,Place,,SEVENTEEN MILE ROCKS,"S, SEVENTEEN MILE ROCKS"
2473,BUNYA,Street,,CANNON HILL,"C, CANNON HILL"
2474,BUNYA,Street,,EAGLE FARM,"E, EAGLE FARM"
2475,BUNYA,Street,,FOREST LAKE,"F, FOREST LAKE"
2476,BUNYA,Street,,GREENSLOPES,"G, GREENSLOPES"
2477,BUNYA,Street,,HEMMANT,"H, HEMMANT"
2478,BUNYA,Street,,MOGGILL,"M, MOGGILL"
2479,BUNYA,Street,,MOUNT CROSBY,"M, MOUNT CROSBY"
2480,BUNYIP,Street,,BURBANK,"B, BURBANK"
2481,BURAN,Street,,CHERMSIDE WEST,"C, CHERMSIDE WEST"
2482,BURANDA,Street,,WOOLLOONGABBA,"W, WOOLLOONGABBA"
2483,BURBANK,Street,,STAFFORD HEIGHTS,"S, STAFFORD HEIGHTS"
2484,BURBONG,Street,,CHAPEL HILL,"C, CHAPEL HILL"
2485,BURCHELL,Street,,CARINA,"C, CARINA"
2486,BURCHER,Street,,PULLENVALE,"P, PULLENVALE"
2487,BURCOTE,Street,,MOUNT GRAVATT EAST,"M, MOUNT GRAVATT EAST"
2488,BURDEKIN,Drive,,SINNAMON PARK,"S, SINNAMON PARK"
2489,BURDEKIN,Street,,GAYTHORNE,"G, GAYTHORNE"
2490,BURDEKIN,Street,,WAKERLEY,"W, WAKERLEY"
2491,BURDETT,Street,,ALBION,"A, ALBION"
2492,BURDOCK,Street,,INALA,"I, INALA"
2493,BURDON,Street,,KEPERRA,"K, KEPERRA"
2494,BURGEE,Street,,JAMBOREE HEIGHTS,"J, JAMBOREE HEIGHTS"
2495,BURGESS,Place,,BRACKEN RIDGE,"B, BRACKEN RIDGE"
2496,BURGESS,Street,,SALISBURY,"S, SALISBURY"
2497,BURGH,Court,,CARINDALE,"C, CARINDALE"
2498,BURGUNDY,Street,,CARSELDINE,"C, CARSELDINE"
2499,BURILDA,Street,,HENDRA,"H, HENDRA"
2500,BURKE,Close,,DREWVALE,"D, DREWVALE"
2501,BURKE,Court,,ACACIA RIDGE,"A, ACACIA RIDGE"
2502,BURKE,Court,,MOUNT OMMANEY,"M, MOUNT OMMANEY"
2503,BURKE,Lane,,KANGAROO POINT,"K, KANGAROO POINT"
2504,BURKE,Place,,FOREST LAKE,"F, FOREST LAKE"
2505,BURKE,Street,,COORPAROO,"C, COORPAROO"
2506,BURKE,Street,,WOOLLOONGABBA,"W, WOOLLOONGABBA"
2507,BURKE,Street,,WYNNUM,"W, WYNNUM"
2508,BURLINGTON,Street,,EAST BRISBANE,"E, EAST BRISBANE"
2509,BURLINGTON,Street,,HOLLAND PARK,"H, HOLLAND PARK"
2510,BURLINGTON,Street,,HOLLAND PARK WEST,"H, HOLLAND PARK WEST"
2511,BURLINSON,Close,,MCDOWALL,"M, MCDOWALL"
2512,BURMAN,Road,,PALLARA,"P, PALLARA"
2513,BURMAN,Road,,WILLAWONG,"W, WILLAWONG"
2514,BURMEL,Street,,ROBERTSON,"R, ROBERTSON"
2515,BURN,Street,,CAMP HILL,"C, CAMP HILL"
2516,BURNABY,Terrace,,GORDON PARK,"G, GORDON PARK"
2517,BURNBY,Road,,HEMMANT,"H, HEMMANT"
2518,BURNETT,Lane,,BRISBANE CITY,"B, BRISBANE CITY"
2519,BURNETT,Place,,SANDGATE,"S, SANDGATE"
2520,BURNETT,Street,,KEPERRA,"K, KEPERRA"
2521,BURNETT,Street,,MANLY WEST,"M, MANLY WEST"
2522,BURNHAM,Road,,BARDON,"B, BARDON"
2523,BURNLEY,Street,,NEWMARKET,"N, NEWMARKET"
2524,BURNS,Close,,EIGHT MILE PLAINS,"E, EIGHT MILE PLAINS"
2525,BURNS,Parade,,CHAPEL HILL,"C, CHAPEL HILL"
2526,BURNS,Road,,TOOWONG,"T, TOOWONG"
2527,BURNS,Street,,INDOOROOPILLY,"I, INDOOROOPILLY"
2528,BURNS,Street,,TARINGA,"T, TARINGA"
2529,BURNSIDE,Crescent,,WESTLAKE,"W, WESTLAKE"
2530,BURNSIDE,Place,,FOREST LAKE,"F, FOREST LAKE"
2531,BURRABI,Street,,BALD HILLS,"B, BALD HILLS"
2532,BURRABIRRA,Street,,MOUNT GRAVATT EAST,"M, MOUNT GRAVATT EAST"
2533,BURRADOO,Street,,CHERMSIDE,"C, CHERMSIDE"
2534,BURRADOO,Street,,WAVELL HEIGHTS,"W, WAVELL HEIGHTS"
2535,BURRAI,Street,,MORNINGSIDE,"M, MORNINGSIDE"
2536,BURRALONG,Street,,DEAGON,"D, DEAGON"
2537,BURRELL,Street,,CLAYFIELD,"C, CLAYFIELD"
2538,BURREN,Street,,VIRGINIA,"V, VIRGINIA"
2539,BURREN,Street,,WAVELL HEIGHTS,"W, WAVELL HEIGHTS"
2540,BURRENDAH,Road,,JINDALEE,"J, JINDALEE"
2541,BURRINGBAR,Street,,HEMMANT,"H, HEMMANT"
2542,BURROWA,Street,,STAFFORD,"S, STAFFORD"
2543,BURROWS,Street,,BOWEN HILLS,"B, BOWEN HILLS"
2544,BURROWS,Street,,KARANA DOWNS,"K, KARANA DOWNS"
2545,BURRUM,Court,,RUNCORN,"R, RUNCORN"
2546,BURRUMBUCK,Street,,CHAPEL HILL,"C, CHAPEL HILL"
2547,BURSARIA,Street,,ALGESTER,"A, ALGESTER"
2548,BURSTALL,Avenue,,BELMONT,"B, BELMONT"
2549,BURT,Street,,AUCHENFLOWER,"A, AUCHENFLOWER"
2550,BURTON,Street,,INDOOROOPILLY,"I, INDOOROOPILLY"
2551,BURUDA,Street,,CHERMSIDE,"C, CHERMSIDE"
2552,BURWICK,Close,,MIDDLE PARK,"M, MIDDLE PARK"
2553,BURWOOD,Road,,EVERTON PARK,"E, EVERTON PARK"
2554,BUSBY,Street,,ALGESTER,"A, ALGESTER"
2555,BUSCALL,Court,,SINNAMON PARK,"S, SINNAMON PARK"
2556,BUSH PEA,Place,,KURABY,"K, KURABY"
2557,BUSH,Street,,WINDSOR,"W, WINDSOR"
2558,BUSHING,Street,,WYNNUM WEST,"W, WYNNUM WEST"
2559,BUSHLAND,Street,,BOONDALL,"B, BOONDALL"
2560,BUSHLARK,Lane,,INALA,"I, INALA"
2561,BUSHLARK,Street,,BELLBOWRIE,"B, BELLBOWRIE"
2562,BUSHLARK,Way,,CARINDALE,"C, CARINDALE"
2563,BUSHWICK,Street,,THE GAP,"T, THE GAP"
2564,BUTE,Street,,SHERWOOD,"S, SHERWOOD"
2565,BUTLAND,Street,,BRACKEN RIDGE,"B, BRACKEN RIDGE"
2566,BUTLER,Crescent,,CALAMVALE,"C, CALAMVALE"
2567,BUTLER,Street,,ASCOT,"A, ASCOT"
2568,BUTLER,Street,,CLAYFIELD,"C, CLAYFIELD"
2569,BUTLER,Street,,WAKERLEY,"W, WAKERLEY"
2570,BUTLERS,Close,,UPPER KEDRON,"U, UPPER KEDRON"
2571,BUTT,Street,,GEEBUNG,"G, GEEBUNG"
2572,BUTTERCUP,Street,,MANSFIELD,"M, MANSFIELD"
2573,BUTTERFIELD,Place,,CHERMSIDE WEST,"C, CHERMSIDE WEST"
2574,BUTTERFIELD,Street,,HERSTON,"H, HERSTON"
2575,BUTTERNUT,Street,,SUNNYBANK HILLS,"S, SUNNYBANK HILLS"
2576,BUTTONWOOD,Place,,WILLAWONG,"W, WILLAWONG"
2577,BUVELOT,Street,,EVERTON PARK,"E, EVERTON PARK"
2578,BUXTON,Street,,ASCOT,"A, ASCOT"
2579,BUXTON,Street,,ASHGROVE,"A, ASHGROVE"
2580,BUYERS,Close,,SEVENTEEN MILE ROCKS,"S, SEVENTEEN MILE ROCKS"
2581,BUZACOTT,Street,,CARINA HEIGHTS,"C, CARINA HEIGHTS"
2582,BYAMBEE,Street,,KENMORE,"K, KENMORE"
2583,BYCROFT,Street,,PULLENVALE,"P, PULLENVALE"
2584,BYE,Street,,SALISBURY,"S, SALISBURY"
2585,BYNOE,Close,,CHAPEL HILL,"C, CHAPEL HILL"
2586,BYRAM,Street,,NEW FARM,"N, NEW FARM"
2587,BYRES,Street,,NEWSTEAD,"N, NEWSTEAD"
2588,BYRNE,Parade,,BALMORAL,"B, BALMORAL"
2589,BYRNE,Street,,WINDSOR,"W, WINDSOR"
2590,BYRNE,Street,,WOOLLOONGABBA,"W, WOOLLOONGABBA"
2591,BYRNES,Lane,,CHERMSIDE,"C, CHERMSIDE"
2592,BYRNES,Street,,FAIRFIELD,"F, FAIRFIELD"
2593,BYRNESIDE,Terrace,,WYNNUM,"W, WYNNUM"
2594,BYRON,Street,,BULIMBA,"B, BULIMBA"
2595,BYRON,Street,,RUNCORN,"R, RUNCORN"
2596,BYRONY,Place,,PARKINSON,"P, PARKINSON"
2597,BYTH,Street,,BANYO,"B, BANYO"
2598,BYTH,Street,,STAFFORD,"S, STAFFORD"
2599,BYWONG,Street,,TARINGA,"T, TARINGA"
2600,BYWONG,Street,,TOOWONG,"T, TOOWONG"
2601,BYWOOD,Street,,SUNNYBANK HILLS,"S, SUNNYBANK HILLS"
2602,BYZANCE,Close,,EIGHT MILE PLAINS,"E, EIGHT MILE PLAINS"
2603,CABANDA,Street,,WYNNUM WEST,"W, WYNNUM WEST"
2604,CABER,Street,,KENMORE,"K, KENMORE"
2605,CABER,Street,,KENMORE HILLS,"K, KENMORE HILLS"
2606,CABERNET,Street,,CARSELDINE,"C, CARSELDINE"
2607,CABRAGH,Street,,FERNY GROVE,"F, FERNY GROVE"
2608,CABRAMURRA,Street,,CHAPEL HILL,"C, CHAPEL HILL"
2609,CABRERO,Lane,,ROCHEDALE,"R, ROCHEDALE"
2610,CACHET,Court,,EIGHT MILE PLAINS,"E, EIGHT MILE PLAINS"
2611,CACTUS,Court,,EIGHT MILE PLAINS,"E, EIGHT MILE PLAINS"
2612,CADAGA,Close,,BELLBOWRIE,"B, BELLBOWRIE"
2613,CADBURY,Street,,CARSELDINE,"C, CARSELDINE"
2614,CADELL,Street,,AUCHENFLOWER,"A, AUCHENFLOWER"
2615,CADELL,Street,,TOOWONG,"T, TOOWONG"
2616,CADIZ,Street,,INDOOROOPILLY,"I, INDOOROOPILLY"
2617,CADOGAN,Street,,CARINDALE,"C, CARINDALE"
2618,CADWALLON,Court,,CARINDALE,"C, CARINDALE"
2619,CADZOW,Court,,CARINDALE,"C, CARINDALE"
2620,CAEDMON,Street,,SALISBURY,"S, SALISBURY"
2621,CAELIAN,Street,,SEVEN HILLS,"S, SEVEN HILLS"
2622,CAELUM,Close,,WYNNUM,"W, WYNNUM"
2623,CAESAR,Court,,SUNNYBANK HILLS,"S, SUNNYBANK HILLS"
2624,CAGNEY,Street,,EVERTON PARK,"E, EVERTON PARK"
2625,CAGNEY,Street,,STAFFORD HEIGHTS,"S, STAFFORD HEIGHTS"
2626,CAHIR,Street,,TINGALPA,"T, TINGALPA"
2627,CAIN,Street,,EVERTON PARK,"E, EVERTON PARK"
2628,CAIRNS,Street,,EAST BRISBANE,"E, EAST BRISBANE"
2629,CAIRNS,Street,,KANGAROO POINT,"K, KANGAROO POINT"
2630,CAIRNS,Street,,RED HILL,"R, RED HILL"
2631,CAIRO,Street,,ENOGGERA,"E, ENOGGERA"
2632,CAISTER,Court,,CARINDALE,"C, CARINDALE"
2633,CAITHNESS,Street,,KEDRON,"K, KEDRON"
2634,CALADENIA,Street,,ACACIA RIDGE,"A, ACACIA RIDGE"
2635,CALADENIA,Street,,INDOOROOPILLY,"I, INDOOROOPILLY"
2636,CALADIUM,Street,,WAKERLEY,"W, WAKERLEY"
2637,CALAIS,Close,,SUNNYBANK HILLS,"S, SUNNYBANK HILLS"
2638,CALAM,Road,,SUNNYBANK HILLS,"S, SUNNYBANK HILLS"
2639,CALANDA,Street,,WISHART,"W, WISHART"
2640,CALDER,Street,,TINGALPA,"T, TINGALPA"
2641,CALDERWOOD,Street,,BALD HILLS,"B, BALD HILLS"
2642,CALDICOT,Place,,CARINDALE,"C, CARINDALE"
2643,CALDON,Street,,ACACIA RIDGE,"A, ACACIA RIDGE"
2644,CALDWELL,Street,,MANLY WEST,"M, MANLY WEST"
2645,CALE,Street,,UPPER MOUNT GRAVATT,"U, UPPER MOUNT GRAVATT"
2646,CALEDON,Street,,BRACKEN RIDGE,"B, BRACKEN RIDGE"
2647,CALEDONIA,Court,,MORNINGSIDE,"M, MORNINGSIDE"
2648,CALEN,Street,,KEPERRA,"K, KEPERRA"
2649,CALENDULA,Court,,DREWVALE,"D, DREWVALE"
2650,CALEY,Crescent,,DREWVALE,"D, DREWVALE"
2651,CALGA,Street,,CHERMSIDE,"C, CHERMSIDE"
2652,CALGA,Street,,WAVELL HEIGHTS,"W, WAVELL HEIGHTS"
2653,CALHOUN,Street,,MCDOWALL,"M, MCDOWALL"
2654,CALIDA,Street,,BOONDALL,"B, BOONDALL"
2655,CALIFORNIA,Road,,OXLEY,"O, OXLEY"
2656,CALISTA,Crescent,,BRACKEN RIDGE,"B, BRACKEN RIDGE"
2657,CALISTA,Street,,DURACK,"D, DURACK"
2658,CALLABONNA,Street,,WESTLAKE,"W, WESTLAKE"
2659,CALLAN,Street,,KEPERRA,"K, KEPERRA"
2660,CALLARD,Street,,ACACIA RIDGE,"A, ACACIA RIDGE"
2661,CALLENDAR,Street,,SUNNYBANK HILLS,"S, SUNNYBANK HILLS"
2662,CALLIANDRA,Place,,CALAMVALE,"C, CALAMVALE"
2663,CALLIANDRA,Place,,MOUNT GRAVATT EAST,"M, MOUNT GRAVATT EAST"
2664,CALLIANDRA,Place,,SINNAMON PARK,"S, SINNAMON PARK"
2665,CALLIOPE,Circuit,,MURARRIE,"M, MURARRIE"
2666,CALLIOPE,Street,,RUNCORN,"R, RUNCORN"
2667,CALLIOPE,Street,,SUNNYBANK HILLS,"S, SUNNYBANK HILLS"
2668,CALLISTEMON,Place,,WYNNUM WEST,"W, WYNNUM WEST"
2669,CALLISTEMON,Street,,HEATHWOOD,"H, HEATHWOOD"
2670,CALLITRIS,Street,,ACACIA RIDGE,"A, ACACIA RIDGE"
2671,CALLOWAY,Place,,MANLY WEST,"M, MANLY WEST"
2672,CALLUM,Place,,BRACKEN RIDGE,"B, BRACKEN RIDGE"
2673,CALOGERO,Drive,,BRACKEN RIDGE,"B, BRACKEN RIDGE"
2674,CALONNE,Street,,UPPER MOUNT GRAVATT,"U, UPPER MOUNT GRAVATT"
2675,CALOOLA,Street,,STAFFORD,"S, STAFFORD"
2676,CALOUNDRA,Street,,MANLY WEST,"M, MANLY WEST"
2677,CALROSSY,Street,,BOONDALL,"B, BOONDALL"
2678,CALSHOT,Street,,KENMORE,"K, KENMORE"
2679,CALSTON,Street,,OXLEY,"O, OXLEY"
2680,CALVARY,Crescent,,BOONDALL,"B, BOONDALL"
2681,CALVERT,Street,,NUNDAH,"N, NUNDAH"
2682,CALVERT,Street,,WAVELL HEIGHTS,"W, WAVELL HEIGHTS"
2683,CAM,Lane,,ANNERLEY,"A, ANNERLEY"
2684,CAMARO,Street,,RUNCORN,"R, RUNCORN"
2685,CAMBAGE,Road,,NORTHGATE,"N, NORTHGATE"
2686,CAMBERWELL,Place,,FOREST LAKE,"F, FOREST LAKE"
2687,CAMBERWELL,Street,,EAST BRISBANE,"E, EAST BRISBANE"
2688,CAMBEWARRA,Street,,ZILLMERE,"Z, ZILLMERE"
2689,CAMBOOR,Street,,CAMP HILL,"C, CAMP HILL"
2690,CAMBOOYA,Street,,SUNNYBANK HILLS,"S, SUNNYBANK HILLS"
2691,CAMBORNE,Place,,CHAPEL HILL,"C, CHAPEL HILL"
2692,CAMBORNE,Street,,ALDERLEY,"A, ALDERLEY"
2693,CAMBORNE,Street,,DREWVALE,"D, DREWVALE"
2694,CAMBORNE,Street,,ENOGGERA,"E, ENOGGERA"
2695,CAMBRAE,Street,,TARRAGINDI,"T, TARRAGINDI"
2696,CAMBRIAN,Street,,BALD HILLS,"B, BALD HILLS"
2697,CAMBRIDGE,Close,,THE GAP,"T, THE GAP"
2698,CAMBRIDGE,Crescent,,FITZGIBBON,"F, FITZGIBBON"
2699,CAMBRIDGE,Crescent,,FOREST LAKE,"F, FOREST LAKE"
2700,CAMBRIDGE,Parade,,MANLY,"M, MANLY"
2701,CAMBRIDGE,Place,,WISHART,"W, WISHART"
2702,CAMBRIDGE,Road,,DARRA,"D, DARRA"
2703,CAMBRIDGE,Street,,BULIMBA,"B, BULIMBA"
2704,CAMBRIDGE,Street,,CAMP HILL,"C, CAMP HILL"
2705,CAMBRIDGE,Street,,CARINA,"C, CARINA"
2706,CAMBRIDGE,Street,,CARINA HEIGHTS,"C, CARINA HEIGHTS"
2707,CAMBRIDGE,Street,,COORPAROO,"C, COORPAROO"
2708,CAMBRIDGE,Street,,EAST BRISBANE,"E, EAST BRISBANE"
2709,CAMBRIDGE,Street,,NUNDAH,"N, NUNDAH"
2710,CAMBRIDGE,Street,,RED HILL,"R, RED HILL"
